job_title,median_salary_usd
"ML Engineer",145415
"AI Engineer",105760
"AI Engineer",134637
"Data Entry Clerk",103091
"AI Engineer",132476
"Chatbot Operator",115075
"Data Entry Clerk",143399
"Chatbot Operator",115281
"RPA Developer",141824
"Chatbot Operator",95773
"RPA Developer",136092
"Chatbot Operator",103698
"AI Engineer",125640
"ML Engineer",116281
"Automation Analyst",147232
"Chatbot Operator",97779
"AI Engineer",148299
"ML Engineer",122167
"Chatbot Operator",108729
"Data Entry Clerk",145779
"AI Engineer",137484
"Automation Analyst",149666
"AI Engineer",140486
"Chatbot Operator",105980
"Chatbot Operator",127699
"Data Entry Clerk",147469
"Chatbot Operator",126625
"RPA Developer",115204
"Data Entry Clerk",92448
"ML Engineer",98855
"Data Entry Clerk",100915
"RPA Developer",123666
"ML Engineer",92187
"Chatbot Operator",118653
"AI Engineer",123962
"Data Entry Clerk",133671
"Automation Analyst",92791
"ML Engineer",118764
"ML Engineer",133503
"Automation Analyst",127176
"ML Engineer",101694
"Data Entry Clerk",100617
"RPA Developer",135605
"Chatbot Operator",119733
"AI Engineer",103633
"ML Engineer",145498
"ML Engineer",95003
"ML Engineer",116822
"ML Engineer",106614
"ML Engineer",109946
"Chatbot Operator",137614
"RPA Developer",114903
"Automation Analyst",105940
"Automation Analyst",95632
"Automation Analyst",140646
"Data Entry Clerk",128641
"RPA Developer",119101
"Automation Analyst",100445
"Chatbot Operator",115087
"Data Entry Clerk",114813
"AI Engineer",109224
"Automation Analyst",111512
"Automation Analyst",118229
"Chatbot Operator",114949
"Automation Analyst",146964
"Automation Analyst",121604
"ML Engineer",130497
"AI Engineer",106786
"Automation Analyst",103307
"ML Engineer",127211
"Automation Analyst",140305
"ML Engineer",95475
"ML Engineer",128463
"RPA Developer",110912
"Data Entry Clerk",141068
"Data Entry Clerk",110518
"Chatbot Operator",115841
"RPA Developer",122439
"Chatbot Operator",91898
"RPA Developer",140052
"Automation Analyst",125088
"RPA Developer",123435
"Data Entry Clerk",108751
"ML Engineer",131730
"Chatbot Operator",93799
"Chatbot Operator",103918
"Chatbot Operator",111126
"RPA Developer",102517
"Automation Analyst",136740
"Automation Analyst",116621
"Chatbot Operator",96415
"AI Engineer",100151
"ML Engineer",110064
"Chatbot Operator",106537
"Data Entry Clerk",93904
"RPA Developer",137011
"ML Engineer",98073
"RPA Developer",125460
"Chatbot Operator",140850
"RPA Developer",132036
"Automation Analyst",123422
"Automation Analyst",142479
"Chatbot Operator",126548
"ML Engineer",93695
"Chatbot Operator",123868
"Data Entry Clerk",97400
"ML Engineer",106918
"AI Engineer",134125
"Automation Analyst",101116
"RPA Developer",133719
"Data Entry Clerk",101708
"ML Engineer",146044
"Chatbot Operator",130065
"Automation Analyst",141432
"Data Entry Clerk",99217
"ML Engineer",104248
"Chatbot Operator",120822
"RPA Developer",117804
"ML Engineer",136747
"Automation Analyst",108563
"Chatbot Operator",102752
"Data Entry Clerk",124173
"RPA Developer",116898
"Data Entry Clerk",116283
"ML Engineer",100866
"Automation Analyst",145272
"Chatbot Operator",116531
"AI Engineer",138538
"ML Engineer",103086
"Automation Analyst",145429
"AI Engineer",140301
"Data Entry Clerk",138854
"RPA Developer",108982
"Data Entry Clerk",100209
"RPA Developer",141549
"Data Entry Clerk",101148
"ML Engineer",124148
"AI Engineer",108650
"Automation Analyst",136680
"Automation Analyst",128407
"Data Entry Clerk",100267
"Data Entry Clerk",122879
"Data Entry Clerk",136219
"Automation Analyst",122180
"ML Engineer",94412
"Automation Analyst",118302
"Chatbot Operator",117246
"Automation Analyst",131573
"Chatbot Operator",148942
"RPA Developer",143581
"Automation Analyst",148730
"RPA Developer",137711
"Automation Analyst",134522
"AI Engineer",100700
"Data Entry Clerk",135670
"Data Entry Clerk",131180
"AI Engineer",123305
"Automation Analyst",132470
"Automation Analyst",108877
"RPA Developer",136020
"AI Engineer",102760
"RPA Developer",122568
"Data Entry Clerk",123517
"ML Engineer",114917
"AI Engineer",148593
"Data Entry Clerk",99217
"ML Engineer",129248
"Chatbot Operator",112083
"RPA Developer",105529
"Automation Analyst",107122
"Chatbot Operator",106769
"Automation Analyst",138137
"ML Engineer",107852
"ML Engineer",114523
"RPA Developer",133215
"ML Engineer",121279
"RPA Developer",146449
"Data Entry Clerk",91144
"Automation Analyst",97402
"AI Engineer",95947
"ML Engineer",93127
"Data Entry Clerk",106802
"RPA Developer",124291
"RPA Developer",101760
"Automation Analyst",149878
"AI Engineer",105223
"ML Engineer",124015
"ML Engineer",134262
"Chatbot Operator",119372
"Chatbot Operator",143532
"Automation Analyst",140184
"Chatbot Operator",130880
"RPA Developer",117286
"RPA Developer",127037
"RPA Developer",147878
"Data Entry Clerk",97389
"Automation Analyst",144967
"AI Engineer",110436
"ML Engineer",118659
"ML Engineer",147794
"Data Entry Clerk",141499
"AI Engineer",136528
"Automation Analyst",140846
"RPA Developer",107436
"ML Engineer",97029
"AI Engineer",111613
"Automation Analyst",102295
"AI Engineer",92833
"ML Engineer",93485
"Data Entry Clerk",149946
"RPA Developer",125821
"Data Entry Clerk",101429
"Chatbot Operator",116615
"AI Engineer",136529
"Chatbot Operator",132712
"AI Engineer",122416
"Chatbot Operator",100760
"RPA Developer",131527
"Automation Analyst",114425
"Automation Analyst",133985
"Chatbot Operator",138315
"RPA Developer",113935
"Automation Analyst",123986
"ML Engineer",106666
"RPA Developer",127053
"Chatbot Operator",113379
"ML Engineer",108045
"Chatbot Operator",122095
"Chatbot Operator",132708
"AI Engineer",141836
"Automation Analyst",134720
"AI Engineer",110177
"AI Engineer",91467
"AI Engineer",135945
"Automation Analyst",113780
"RPA Developer",104539
"AI Engineer",148025
"RPA Developer",97235
"Chatbot Operator",103541
"ML Engineer",100879
"ML Engineer",119100
"RPA Developer",94650
"Data Entry Clerk",110344
"Chatbot Operator",143237
"AI Engineer",121656
"Automation Analyst",138432
"ML Engineer",95835
"Automation Analyst",122574
"Chatbot Operator",115904
"Chatbot Operator",137540
"RPA Developer",99408
"RPA Developer",103236
"AI Engineer",106696
"RPA Developer",127849
"Chatbot Operator",127499
"ML Engineer",139254
"ML Engineer",134065
"Automation Analyst",131602
"ML Engineer",124071
"RPA Developer",115972
"Automation Analyst",131743
"Chatbot Operator",148605
"AI Engineer",137649
"RPA Developer",147006
"AI Engineer",120892
"RPA Developer",105655
"Automation Analyst",107182
"RPA Developer",145794
"Chatbot Operator",106517
"Data Entry Clerk",118945
"ML Engineer",119787
"Data Entry Clerk",125679
"Automation Analyst",125655
"AI Engineer",127112
"Automation Analyst",130195
"Chatbot Operator",97770
"Automation Analyst",134759
"RPA Developer",134721
"ML Engineer",106909
"Chatbot Operator",132510
"RPA Developer",144395
"ML Engineer",134167
"RPA Developer",98364
"ML Engineer",139403
"ML Engineer",131479
"Chatbot Operator",117985
"Chatbot Operator",96977
"Data Entry Clerk",118698
"ML Engineer",97749
"Chatbot Operator",136871
"RPA Developer",108390
"Data Entry Clerk",103050
"AI Engineer",111630
"Data Entry Clerk",118866
"RPA Developer",95698
"ML Engineer",104850
"Chatbot Operator",141809
"RPA Developer",110703
"RPA Developer",116557
"AI Engineer",127388
"RPA Developer",123960
"Data Entry Clerk",130053
"ML Engineer",128368
"AI Engineer",103860
"ML Engineer",97611
"Chatbot Operator",121643
"Automation Analyst",110543
"Data Entry Clerk",97684
"Chatbot Operator",143231
"AI Engineer",139156
"AI Engineer",114603
"Automation Analyst",147433
"Data Entry Clerk",112345
"Data Entry Clerk",100166
"Automation Analyst",114140
"AI Engineer",148353
"RPA Developer",128198
"Chatbot Operator",123827
"Chatbot Operator",115711
"AI Engineer",113633
"ML Engineer",118739
"Automation Analyst",132516
"RPA Developer",141060
"Data Entry Clerk",140556
"AI Engineer",104463
"Automation Analyst",132486
"Automation Analyst",97516
"AI Engineer",94089
"ML Engineer",111599
"Automation Analyst",108710
"RPA Developer",115870
"RPA Developer",129796
"RPA Developer",106709
"ML Engineer",134333
"ML Engineer",139359
"RPA Developer",97632
"AI Engineer",112164
"Data Entry Clerk",133315
"Chatbot Operator",127562
"Automation Analyst",142655
"Automation Analyst",138809
"ML Engineer",106082
"Automation Analyst",91517
"ML Engineer",140119
"ML Engineer",131687
"ML Engineer",97272
"RPA Developer",126575
"Data Entry Clerk",132774
"RPA Developer",100677
"Automation Analyst",124734
"Chatbot Operator",143900
"AI Engineer",143984
"ML Engineer",113456
"AI Engineer",100360
"ML Engineer",117316
"Data Entry Clerk",124191
"AI Engineer",120166
"Automation Analyst",146110
"Data Entry Clerk",124814
"Automation Analyst",146130
"Automation Analyst",138475
"Data Entry Clerk",138641
"RPA Developer",111911
"AI Engineer",133656
"Data Entry Clerk",96848
"AI Engineer",130913
"Automation Analyst",121286
"RPA Developer",121293
"Chatbot Operator",126721
"ML Engineer",108131
"Chatbot Operator",128582
"ML Engineer",121254
"Chatbot Operator",120387
"Automation Analyst",108054
"Chatbot Operator",115625
"Automation Analyst",101414
"AI Engineer",107754
"ML Engineer",130089
"Chatbot Operator",141818
"Chatbot Operator",99990
"RPA Developer",122873
"Chatbot Operator",140609
"AI Engineer",113901
"Data Entry Clerk",112466
"Automation Analyst",121948
"RPA Developer",93153
"AI Engineer",110398
"ML Engineer",137744
"Chatbot Operator",135343
"AI Engineer",103014
"AI Engineer",136300
"ML Engineer",111602
"RPA Developer",142055
"Data Entry Clerk",124810
"AI Engineer",111309
"AI Engineer",144486
"Chatbot Operator",99286
"Chatbot Operator",142138
"RPA Developer",134323
"ML Engineer",93448
"Chatbot Operator",147022
"Chatbot Operator",123848
"AI Engineer",129766
"Chatbot Operator",139181
"Automation Analyst",104836
"Chatbot Operator",111199
"Chatbot Operator",123068
"ML Engineer",104715
"Chatbot Operator",102486
"RPA Developer",109164
"ML Engineer",127799
"ML Engineer",115157
"ML Engineer",101401
"RPA Developer",106290
"RPA Developer",128889
"ML Engineer",145895
"Automation Analyst",132144
"Automation Analyst",108549
"RPA Developer",113722
"Data Entry Clerk",138052
"Automation Analyst",138400
"AI Engineer",120251
"Chatbot Operator",102673
"AI Engineer",100937
"RPA Developer",139916
"ML Engineer",116688
"AI Engineer",129786
"Automation Analyst",115342
"Data Entry Clerk",109486
"AI Engineer",96727
"Chatbot Operator",95226
"Data Entry Clerk",141661
"Chatbot Operator",145655
"Automation Analyst",126346
"Automation Analyst",98007
"ML Engineer",117546
"Automation Analyst",133228
"Chatbot Operator",107312
"RPA Developer",135236
"Chatbot Operator",116098
"RPA Developer",131563
"RPA Developer",126421
"Data Entry Clerk",103924
"AI Engineer",111032
"AI Engineer",143473
"Data Entry Clerk",95112
"ML Engineer",93235
"Chatbot Operator",128195
"ML Engineer",103340
"Chatbot Operator",140063
"AI Engineer",109482
"Chatbot Operator",135282
"RPA Developer",114381
"Automation Analyst",145920
"ML Engineer",129729
"AI Engineer",121461
"Chatbot Operator",142046
"Automation Analyst",122242
"ML Engineer",106549
"ML Engineer",115750
"AI Engineer",99441
"Automation Analyst",109046
"Automation Analyst",113971
"Data Entry Clerk",101716
"Data Entry Clerk",117723
"ML Engineer",114977
"Data Entry Clerk",119875
"AI Engineer",131473
"AI Engineer",138190
"AI Engineer",118736
"Chatbot Operator",149259
"Automation Analyst",140091
"RPA Developer",94310
"RPA Developer",125822
"AI Engineer",110330
"Data Entry Clerk",145277
"Automation Analyst",94733
"Automation Analyst",123651
"RPA Developer",141144
"ML Engineer",106272
"RPA Developer",96445
"RPA Developer",122378
"ML Engineer",108880
"ML Engineer",125064
"RPA Developer",138428
"AI Engineer",100543
"Data Entry Clerk",106206
"Chatbot Operator",118215
"Data Entry Clerk",99012
"ML Engineer",147424
"Automation Analyst",104080
"Automation Analyst",97520
"AI Engineer",112333
"ML Engineer",93171
"Automation Analyst",139834
"RPA Developer",102618
"ML Engineer",126039
"ML Engineer",93034
"Data Entry Clerk",92493
"RPA Developer",142434
"RPA Developer",91799
"RPA Developer",97748
"Chatbot Operator",102773
"Automation Analyst",140571
"Automation Analyst",103217
"Data Entry Clerk",112140
"AI Engineer",99120
"Data Entry Clerk",115650
"ML Engineer",111684
"Data Entry Clerk",105137
"AI Engineer",147225
"RPA Developer",107477
"RPA Developer",104885
"Data Entry Clerk",118057
"Chatbot Operator",94419
"Chatbot Operator",114790
"RPA Developer",134998
"RPA Developer",119953
"Automation Analyst",115199
"RPA Developer",129471
"RPA Developer",109524
"Chatbot Operator",134676
"AI Engineer",145589
"RPA Developer",103483
"RPA Developer",100644
"Chatbot Operator",110105
"Data Entry Clerk",99694
"ML Engineer",138359
"Chatbot Operator",128705
"Data Entry Clerk",126304
"ML Engineer",99493
"Chatbot Operator",141086
"ML Engineer",137850
"ML Engineer",130205
"RPA Developer",93757
"Chatbot Operator",131874
"Data Entry Clerk",127105
"RPA Developer",149568
"RPA Developer",144698
"RPA Developer",127189
"ML Engineer",95395
"RPA Developer",149377
"Data Entry Clerk",139096
"Chatbot Operator",148173
"AI Engineer",146756
"Automation Analyst",141817
"Data Entry Clerk",146443
"Automation Analyst",129005
"RPA Developer",132779
"Chatbot Operator",124101
"Chatbot Operator",99194
"ML Engineer",130077
"AI Engineer",116571
"Chatbot Operator",92198
"Data Entry Clerk",144054
"Data Entry Clerk",100768
"RPA Developer",104043
"AI Engineer",111718
"ML Engineer",106281
"RPA Developer",149260
"Automation Analyst",114509
"Chatbot Operator",141114
"Chatbot Operator",124977
"Chatbot Operator",140131
"Chatbot Operator",120380
"Automation Analyst",111796
"RPA Developer",139410
"AI Engineer",107386
"Chatbot Operator",109395
"AI Engineer",99495
"AI Engineer",92758
"ML Engineer",96535
"RPA Developer",130985
"RPA Developer",97080
"Chatbot Operator",96280
"RPA Developer",139429
"RPA Developer",112156
"AI Engineer",119016
"Chatbot Operator",132468
"Chatbot Operator",142628
"Chatbot Operator",107793
"ML Engineer",122016
"Data Entry Clerk",95445
"AI Engineer",135289
"Automation Analyst",135771
"ML Engineer",123140
"Chatbot Operator",98959
"AI Engineer",132053
"Data Entry Clerk",111553
"Automation Analyst",133271
"AI Engineer",93569
"AI Engineer",134165
"RPA Developer",130447
"Automation Analyst",111999
"Chatbot Operator",116222
"RPA Developer",103744
"Chatbot Operator",144380
"Chatbot Operator",132432
"Automation Analyst",133012
"Data Entry Clerk",140899
"ML Engineer",139189
"Chatbot Operator",112142
"RPA Developer",148442
"Chatbot Operator",117084
"Data Entry Clerk",115665
"AI Engineer",139991
"Chatbot Operator",142304
"Automation Analyst",137004
"ML Engineer",125453
"Chatbot Operator",94288
"RPA Developer",119512
"Data Entry Clerk",138825
"Automation Analyst",142540
"Automation Analyst",118550
"Chatbot Operator",147454
"AI Engineer",114589
"Chatbot Operator",118574
"Automation Analyst",106913
"Data Entry Clerk",121565
"Chatbot Operator",143968
"Data Entry Clerk",135764
"RPA Developer",92252
"RPA Developer",128562
"Automation Analyst",139207
"RPA Developer",111970
"AI Engineer",127386
"Automation Analyst",116406
"RPA Developer",107336
"RPA Developer",116888
"AI Engineer",138437
"ML Engineer",128574
"Data Entry Clerk",106201
"Chatbot Operator",147149
"Chatbot Operator",99447
"Chatbot Operator",123717
"ML Engineer",102459
"Automation Analyst",124133
"Data Entry Clerk",103984
"AI Engineer",125566
"Automation Analyst",112979
"Chatbot Operator",96277
"Automation Analyst",139645
"ML Engineer",93881
"Automation Analyst",108129
"Data Entry Clerk",99849
"AI Engineer",113738
"ML Engineer",149828
"Chatbot Operator",139518
"Data Entry Clerk",126187
"Chatbot Operator",124313
"RPA Developer",140694
"Data Entry Clerk",106497
"Data Entry Clerk",140526
"Data Entry Clerk",114591
"Data Entry Clerk",131649
"RPA Developer",139622
"AI Engineer",118421
"RPA Developer",134653
"Automation Analyst",124380
"ML Engineer",94450
"RPA Developer",123746
"ML Engineer",130481
"ML Engineer",145250
"Data Entry Clerk",94414
"Data Entry Clerk",95281
"ML Engineer",140799
"RPA Developer",119312
"Automation Analyst",139481
"Chatbot Operator",149962
"AI Engineer",141807
"RPA Developer",95975
"Data Entry Clerk",123121
"AI Engineer",92034
"AI Engineer",106748
"Data Entry Clerk",122284
"Chatbot Operator",104198
"ML Engineer",144397
"Chatbot Operator",118413
"Chatbot Operator",110804
"RPA Developer",140173
"ML Engineer",98127
"RPA Developer",143848
"RPA Developer",128380
"ML Engineer",115365
"ML Engineer",107791
"Data Entry Clerk",132199
"Automation Analyst",128524
"AI Engineer",145555
"RPA Developer",107358
"AI Engineer",117554
"Data Entry Clerk",145402
"RPA Developer",101955
"Chatbot Operator",104293
"RPA Developer",103040
"AI Engineer",123665
"Data Entry Clerk",103352
"RPA Developer",139469
"ML Engineer",111851
"RPA Developer",94026
"ML Engineer",121172
"AI Engineer",95035
"ML Engineer",136247
"RPA Developer",111565
"Data Entry Clerk",118370
"RPA Developer",123574
"ML Engineer",111540
"Chatbot Operator",100117
"Automation Analyst",117290
"ML Engineer",149864
"ML Engineer",130470
"Chatbot Operator",100217
"RPA Developer",103450
"Automation Analyst",122804
"Automation Analyst",139689
"Automation Analyst",142058
"RPA Developer",148659
"Chatbot Operator",126825
"AI Engineer",126685
"Data Entry Clerk",144755
"Automation Analyst",147797
"Automation Analyst",98156
"Chatbot Operator",92066
"AI Engineer",140696
"AI Engineer",131934
"Data Entry Clerk",112338
"Data Entry Clerk",142642
"Automation Analyst",117705
"Chatbot Operator",138519
"RPA Developer",104544
"AI Engineer",119322
"Data Entry Clerk",117679
"Automation Analyst",124550
"Chatbot Operator",93068
"RPA Developer",113421
"Data Entry Clerk",148187
"AI Engineer",125742
"RPA Developer",125487
"Chatbot Operator",137377
"ML Engineer",144075
"AI Engineer",97535
"Data Entry Clerk",128438
"Automation Analyst",93500
"RPA Developer",135309
"Chatbot Operator",94442
"Data Entry Clerk",101652
"ML Engineer",142484
"RPA Developer",94826
"Chatbot Operator",93184
"AI Engineer",100298
"AI Engineer",118745
"Automation Analyst",136407
"Chatbot Operator",102507
"ML Engineer",105528
"RPA Developer",129989
"RPA Developer",147232
"ML Engineer",91149
"RPA Developer",97866
"ML Engineer",125214
"Chatbot Operator",125855
"ML Engineer",102957
"Chatbot Operator",146642
"Data Entry Clerk",145993
"Data Entry Clerk",130134
"Chatbot Operator",123451
"Chatbot Operator",112230
"ML Engineer",115317
"ML Engineer",101921
"ML Engineer",111322
"AI Engineer",113206
"ML Engineer",141504
"Chatbot Operator",136712
"AI Engineer",99727
"Chatbot Operator",140940
"Chatbot Operator",120024
"AI Engineer",140480
"AI Engineer",94161
"Data Entry Clerk",133640
"Data Entry Clerk",126947
"RPA Developer",142361
"Data Entry Clerk",147315
"Chatbot Operator",141391
"Chatbot Operator",104516
"ML Engineer",102279
"ML Engineer",102279
"AI Engineer",95013
"Data Entry Clerk",109201
"Automation Analyst",132590
"AI Engineer",113204
"Automation Analyst",149630
"RPA Developer",128692
"AI Engineer",132137
"ML Engineer",142678
"RPA Developer",146293
"Data Entry Clerk",128308
"Chatbot Operator",105288
"Chatbot Operator",100109
"Chatbot Operator",115088
"AI Engineer",96186
"Chatbot Operator",147409
"Automation Analyst",105364
"AI Engineer",96264
"RPA Developer",128269
"Chatbot Operator",117763
"RPA Developer",104586
"Automation Analyst",107420
"RPA Developer",130883
"RPA Developer",91865
"Automation Analyst",118198
"RPA Developer",140961
"Automation Analyst",137073
"Chatbot Operator",133704
"Chatbot Operator",95072
"AI Engineer",122879
"Automation Analyst",127725
"AI Engineer",106001
"AI Engineer",138035
"Automation Analyst",100846
"Chatbot Operator",91455
"Automation Analyst",98763
"ML Engineer",113615
"AI Engineer",132524
"RPA Developer",127030
"RPA Developer",130584
"Automation Analyst",91927
"RPA Developer",130815
"Automation Analyst",119720
"Chatbot Operator",93282
"Chatbot Operator",99664
"Chatbot Operator",103152
"Chatbot Operator",145045
"Data Entry Clerk",127337
"Automation Analyst",107880
"Data Entry Clerk",114239
"AI Engineer",123383
"Chatbot Operator",93185
"ML Engineer",99741
"RPA Developer",125212
"ML Engineer",106243
"RPA Developer",102583
"Automation Analyst",107811
"Data Entry Clerk",128566
"AI Engineer",123330
"RPA Developer",106595
"Chatbot Operator",125392
"RPA Developer",111086
"Automation Analyst",144952
"Chatbot Operator",104320
"RPA Developer",92319
"AI Engineer",126915
"Automation Analyst",94530
"RPA Developer",131379
"Data Entry Clerk",119377
"Data Entry Clerk",116780
"AI Engineer",126575
"Automation Analyst",101157
"Data Entry Clerk",124168
"Automation Analyst",120230
"Chatbot Operator",94295
"Chatbot Operator",142551
"Automation Analyst",95914
"Chatbot Operator",100502
"RPA Developer",92581
"Data Entry Clerk",98570
"Chatbot Operator",125330
"RPA Developer",137738
"Data Entry Clerk",137421
"Chatbot Operator",145925
"AI Engineer",107308
"RPA Developer",128486
"RPA Developer",91945
"Automation Analyst",141196
"Chatbot Operator",109100
"Automation Analyst",118800
"AI Engineer",138166
"ML Engineer",125177
"RPA Developer",120383
"Chatbot Operator",121839
"Chatbot Operator",132734
"AI Engineer",111482
"Chatbot Operator",91427
"AI Engineer",93276
"Chatbot Operator",124588
"RPA Developer",141783
"AI Engineer",127869
"Automation Analyst",121448
"RPA Developer",134095
"Chatbot Operator",130739
"Automation Analyst",137723
"RPA Developer",149394
"RPA Developer",109443
"Chatbot Operator",139343
"RPA Developer",122936
"Automation Analyst",132308
"ML Engineer",140351
"Data Entry Clerk",102210
"Chatbot Operator",116693
"RPA Developer",137246
"ML Engineer",147212
"RPA Developer",148092
"AI Engineer",114315
"RPA Developer",123262
"Chatbot Operator",145230
"AI Engineer",120405
"ML Engineer",149260
"Chatbot Operator",117318
"Automation Analyst",92337
"AI Engineer",109656
"Automation Analyst",113897
"Automation Analyst",121971
"Automation Analyst",102663
"Chatbot Operator",113654
"Chatbot Operator",93255
"Automation Analyst",105581
"ML Engineer",120603
"RPA Developer",122878
"Chatbot Operator",93721
"Data Entry Clerk",147650
"RPA Developer",109464
"RPA Developer",131198
"AI Engineer",117723
"Data Entry Clerk",124977
"Automation Analyst",93912
"RPA Developer",139736
"Automation Analyst",111868
"ML Engineer",111594
"Chatbot Operator",145249
"RPA Developer",119942
"RPA Developer",97760
"RPA Developer",133456
"Automation Analyst",139462
"Data Entry Clerk",114816
"ML Engineer",124439
"Automation Analyst",131575
"AI Engineer",141421
"ML Engineer",129930
"RPA Developer",115569
"ML Engineer",125002
"Automation Analyst",113686
"Data Entry Clerk",118002
"RPA Developer",108127
"AI Engineer",142844
"RPA Developer",118736
"ML Engineer",136436
"ML Engineer",139716
"AI Engineer",101762
"Data Entry Clerk",123028
"AI Engineer",111898
"AI Engineer",146243
"Automation Analyst",139989
"AI Engineer",149317
"AI Engineer",120159
"Data Entry Clerk",145539
"ML Engineer",94443
"AI Engineer",148092
"Data Entry Clerk",125408
"Data Entry Clerk",132250
"ML Engineer",129615
"RPA Developer",127517
"ML Engineer",91995
"Chatbot Operator",111274
"Automation Analyst",120291
"Data Entry Clerk",102342
"Automation Analyst",109915
"Chatbot Operator",129777
"ML Engineer",102077
"RPA Developer",124858
"AI Engineer",103530
"Data Entry Clerk",132701
"AI Engineer",144994
"ML Engineer",111771
"AI Engineer",111512
"ML Engineer",107574
"AI Engineer",118972
"Automation Analyst",122490
"Data Entry Clerk",108272
"Data Entry Clerk",129999
"Automation Analyst",145687
"AI Engineer",112556
"RPA Developer",105022
"Data Entry Clerk",135440
"AI Engineer",117305
"Chatbot Operator",101866
"Chatbot Operator",125960
"RPA Developer",92715
"Chatbot Operator",137234
"Automation Analyst",109343
"Data Entry Clerk",134510
"AI Engineer",91196
"AI Engineer",139489
"AI Engineer",140188
"Data Entry Clerk",126907
"Chatbot Operator",93806
"Data Entry Clerk",139511
"Chatbot Operator",104179
"ML Engineer",137839
"AI Engineer",104016
"Automation Analyst",95788
"Chatbot Operator",94374
"AI Engineer",113923
"Data Entry Clerk",136004
"Data Entry Clerk",121530
"Chatbot Operator",132941
"Chatbot Operator",139900
"RPA Developer",103412
"Chatbot Operator",111202
"Chatbot Operator",124703
"Automation Analyst",149215
"AI Engineer",140575
"RPA Developer",109728
"ML Engineer",92273
"Chatbot Operator",112533
"Automation Analyst",115536
"Chatbot Operator",93030
"Chatbot Operator",119840
"Data Entry Clerk",110794
"Chatbot Operator",102352
"Automation Analyst",137529
"AI Engineer",137142
"Automation Analyst",136184
"RPA Developer",136988
"ML Engineer",94114
"AI Engineer",104281
"Automation Analyst",147418
"ML Engineer",128272
"Data Entry Clerk",101511
"Automation Analyst",124301
"ML Engineer",131078
"ML Engineer",118762
"Data Entry Clerk",98579
"Chatbot Operator",134337
"AI Engineer",120313
"RPA Developer",146571
"Data Entry Clerk",119379
"Chatbot Operator",124918
"Chatbot Operator",134326
"Data Entry Clerk",141753
"AI Engineer",109852
"Automation Analyst",142859
"Chatbot Operator",143234
"ML Engineer",96812
"AI Engineer",99279
"ML Engineer",136158
"Automation Analyst",115734
"RPA Developer",98985
"ML Engineer",128243
"RPA Developer",145429
"AI Engineer",129854
