ai_job_id,job_title,industry,ai_tool_used,automation_level,median_salary_usd,job_openings_2024,projected_openings_2030
79,Chatbot Operator,Healthcare,OpenCV,Low,47496,138563,138310
80,Data Entry Clerk,Finance,UiPath,High,93342,35279,108338
81,Chatbot Operator,Finance,Python,Medium,52382,107217,112756
82,Automation Analyst,Manufacturing,Python,Low,40187,78495,153295
83,Automation Analyst,Finance,UiPath,High,132118,79994,58084
84,ML Engineer,Healthcare,TensorFlow,Low,106320,80924,58085
85,RPA Developer,Marketing,Python,Low,43956,19892,109709
86,AI Engineer,Healthcare,TensorFlow,Medium,107359,84054,74646
87,ML Engineer,Manufacturing,UiPath,High,45505,98392,75649
88,Chatbot Operator,IT,Power BI,Low,51847,97288,73545
89,AI Engineer,Finance,UiPath,Low,102368,115223,141953
90,Automation Analyst,IT,TensorFlow,High,126084,147438,86603
91,ML Engineer,Healthcare,UiPath,Low,53321,64675,82188
92,RPA Developer,Manufacturing,OpenCV,Medium,118844,46931,34987
93,Automation Analyst,Manufacturing,UiPath,High,41769,139112,137869
94,Automation Analyst,Manufacturing,OpenCV,High,120808,21330,127284
95,Data Entry Clerk,IT,UiPath,High,124492,15373,130167
96,Chatbot Operator,Manufacturing,TensorFlow,Low,62910,108493,186135
97,RPA Developer,IT,UiPath,Low,137597,119563,129726
98,AI Engineer,Marketing,TensorFlow,High,65667,80662,169726
99,ML Engineer,IT,ChatGPT,Low,132171,96410,173026
100,Chatbot Operator,Healthcare,OpenCV,Low,61640,31443,66672
101,ML Engineer,Healthcare,Power BI,High,52238,116283,106435
102,AI Engineer,Marketing,Power BI,Medium,78617,114462,56907
103,Chatbot Operator,Finance,Power BI,Low,104753,71848,30610
104,RPA Developer,Healthcare,OpenCV,Medium,91483,53931,116598
105,Data Entry Clerk,Finance,Python,High,83484,67827,67248
106,Chatbot Operator,Finance,Power BI,Low,53555,36957,123773
107,AI Engineer,Healthcare,OpenCV,Low,146561,81716,198177
108,Chatbot Operator,Manufacturing,TensorFlow,High,111048,64073,65139
109,Data Entry Clerk,Finance,Python,Medium,40295,71508,30075
110,Automation Analyst,Marketing,Power BI,Low,88285,142734,107456
111,Chatbot Operator,Manufacturing,ChatGPT,High,120401,11962,72441
112,AI Engineer,IT,ChatGPT,Medium,78088,116904,40378
113,RPA Developer,IT,Power BI,Medium,131762,96088,82625
114,Automation Analyst,Manufacturing,UiPath,Low,128836,83279,71128
115,ML Engineer,Finance,ChatGPT,Medium,102271,54418,70301
116,Data Entry Clerk,Marketing,Python,Low,78257,137615,51635
117,ML Engineer,Healthcare,UiPath,High,48985,82491,119302
118,ML Engineer,Manufacturing,ChatGPT,High,69240,76242,157065
119,RPA Developer,Marketing,TensorFlow,Low,71776,29096,119280
120,Data Entry Clerk,Manufacturing,TensorFlow,High,79308,51346,38082
121,Automation Analyst,Healthcare,Python,High,130498,38195,137873
122,RPA Developer,Manufacturing,ChatGPT,Medium,46362,76346,171405
123,AI Engineer,Manufacturing,UiPath,Low,115874,147611,39444
124,Automation Analyst,IT,TensorFlow,Medium,55576,6839,45287
125,AI Engineer,Healthcare,ChatGPT,Low,65987,33462,157044
126,ML Engineer,Healthcare,TensorFlow,High,144752,46549,23413
127,AI Engineer,Manufacturing,Python,Medium,105356,113990,33527
128,Data Entry Clerk,IT,Power BI,High,89235,115635,124959
129,Chatbot Operator,IT,OpenCV,High,73565,84480,120664
130,ML Engineer,Marketing,ChatGPT,Low,68460,20633,171181
131,RPA Developer,Healthcare,OpenCV,Low,82895,11951,192815
132,Data Entry Clerk,IT,Python,High,143345,69825,122487
133,Chatbot Operator,Healthcare,ChatGPT,High,133641,109501,60332
134,RPA Developer,Finance,TensorFlow,High,50018,61430,52667
135,AI Engineer,IT,ChatGPT,Medium,123126,57397,79858
136,Chatbot Operator,IT,Power BI,Medium,42666,87923,42437
137,Automation Analyst,IT,TensorFlow,Medium,130595,147003,184909
138,RPA Developer,Manufacturing,OpenCV,Medium,137648,16123,73883
139,ML Engineer,Manufacturing,ChatGPT,High,44611,124893,150135
140,ML Engineer,Manufacturing,OpenCV,High,38621,119512,174086
141,Automation Analyst,Marketing,ChatGPT,Low,128429,29496,128157
142,Automation Analyst,Finance,Power BI,Medium,74471,127063,157495
143,RPA Developer,Manufacturing,Python,Medium,77067,105997,145232
144,Data Entry Clerk,IT,OpenCV,Low,105034,8640,56648
145,AI Engineer,Healthcare,Power BI,Low,61944,145352,156815
146,Data Entry Clerk,Healthcare,Python,Low,90124,21914,68717
147,AI Engineer,Marketing,TensorFlow,Low,56748,67070,189566
148,Automation Analyst,Manufacturing,ChatGPT,Medium,88432,144804,182796
149,Data Entry Clerk,Marketing,ChatGPT,High,61082,146755,159796
150,Chatbot Operator,Finance,TensorFlow,Medium,73862,80799,80089
151,AI Engineer,Finance,ChatGPT,Low,110103,137461,36127
152,RPA Developer,Healthcare,OpenCV,Low,97031,131704,100066
153,ML Engineer,Finance,UiPath,High,104003,70068,166196
154,RPA Developer,Healthcare,Python,Low,123658,140828,35655
155,Automation Analyst,Finance,Python,Medium,145214,88029,179137
156,RPA Developer,Marketing,OpenCV,Low,82249,111903,85364
157,Chatbot Operator,Healthcare,Power BI,High,147510,81939,80144
158,AI Engineer,IT,Power BI,Low,91640,10847,88302
159,Data Entry Clerk,Manufacturing,Python,Medium,45021,143129,117043
160,Automation Analyst,Healthcare,TensorFlow,Medium,108014,125798,57547
161,RPA Developer,Healthcare,ChatGPT,High,40366,61533,143048
162,RPA Developer,IT,UiPath,Low,121191,36152,70058
163,AI Engineer,Finance,OpenCV,Medium,67428,69655,175797
164,ML Engineer,Healthcare,OpenCV,Low,102507,42127,124793
165,Chatbot Operator,Marketing,Power BI,Medium,78010,140905,193248
166,Automation Analyst,IT,ChatGPT,High,117308,107063,58734
167,Automation Analyst,Finance,ChatGPT,Low,72497,99393,118590
168,Chatbot Operator,Healthcare,Power BI,Low,147230,92388,159759
169,Data Entry Clerk,Manufacturing,Python,Low,145127,121135,74456
170,AI Engineer,Manufacturing,Python,Medium,68883,100687,119381
171,Data Entry Clerk,Manufacturing,Power BI,Low,146543,132038,103680
172,Chatbot Operator,Marketing,UiPath,Low,61001,108354,73799
173,Data Entry Clerk,Finance,Python,High,93822,149502,25777
174,Chatbot Operator,Healthcare,OpenCV,Low,59733,109639,106680
175,AI Engineer,Finance,OpenCV,High,48727,8282,64714
176,Automation Analyst,Healthcare,ChatGPT,Low,44869,28063,193081
177,RPA Developer,IT,Power BI,High,66588,103454,182649
178,Automation Analyst,Healthcare,Python,High,115698,92574,56880
179,Data Entry Clerk,IT,UiPath,Low,110902,116412,48959
180,Chatbot Operator,Marketing,ChatGPT,High,93676,59460,137500
181,AI Engineer,IT,UiPath,High,112558,16619,42472
182,Automation Analyst,Marketing,Power BI,Medium,99780,38040,39820
183,Chatbot Operator,Marketing,Power BI,Low,142365,73463,176407
184,Automation Analyst,Finance,OpenCV,High,141458,47162,68849
185,Automation Analyst,Manufacturing,Power BI,High,76605,74343,72136
186,Automation Analyst,Healthcare,Python,High,43460,29464,157177
187,Chatbot Operator,Manufacturing,UiPath,Medium,81984,34047,101143
188,Chatbot Operator,IT,Power BI,Low,88296,18654,195639
189,AI Engineer,Finance,OpenCV,Low,51709,92587,71346
190,Automation Analyst,IT,TensorFlow,Medium,75651,9341,116991
191,AI Engineer,Healthcare,Power BI,Low,42589,92971,98076
192,Automation Analyst,Finance,UiPath,High,98593,75834,106537
193,ML Engineer,Healthcare,UiPath,High,84353,53859,135245
194,Data Entry Clerk,IT,UiPath,Medium,66078,95242,88125
195,ML Engineer,Manufacturing,Power BI,High,79295,73652,148818
196,Chatbot Operator,Healthcare,Python,High,134921,55795,58738
197,Chatbot Operator,IT,Power BI,High,38927,13630,76781
198,ML Engineer,Manufacturing,OpenCV,Low,91731,31132,193466
199,AI Engineer,IT,Power BI,High,48760,43611,63778
200,AI Engineer,IT,TensorFlow,Medium,91560,123328,63333
201,RPA Developer,Healthcare,ChatGPT,Low,139818,90471,64030
202,Data Entry Clerk,Marketing,OpenCV,Medium,131328,26682,196965
203,AI Engineer,Finance,ChatGPT,Low,106881,37923,98983
204,RPA Developer,Healthcare,Python,High,134565,118379,51040
205,Automation Analyst,IT,Power BI,Medium,45065,15853,132329
206,AI Engineer,Marketing,TensorFlow,High,91334,132060,26394
207,Data Entry Clerk,Marketing,TensorFlow,Low,149347,42315,183968
208,RPA Developer,Manufacturing,Python,High,121197,71954,130556
209,Automation Analyst,Healthcare,OpenCV,Medium,124290,68935,147134
210,ML Engineer,IT,ChatGPT,High,76883,137389,124851
211,Chatbot Operator,Healthcare,ChatGPT,High,48535,147526,93304
212,ML Engineer,IT,Python,High,58230,132473,104964
213,Chatbot Operator,Manufacturing,TensorFlow,High,85520,92318,115427
214,ML Engineer,Healthcare,Python,Medium,138804,13750,58954
215,Chatbot Operator,Healthcare,TensorFlow,Low,58724,109598,52040
216,Automation Analyst,Finance,OpenCV,Low,60961,133837,89153
217,Automation Analyst,Marketing,UiPath,Medium,45485,68839,60292
218,RPA Developer,Finance,OpenCV,High,46632,97065,53751
219,Automation Analyst,Healthcare,ChatGPT,Low,138542,74152,144607
220,RPA Developer,Marketing,UiPath,High,46143,83201,35736
221,ML Engineer,Marketing,Python,Low,80306,112119,119777
222,Automation Analyst,IT,Python,Medium,130195,124859,112120
223,Automation Analyst,Manufacturing,OpenCV,Low,132938,104507,98495
224,Data Entry Clerk,Manufacturing,OpenCV,Medium,39703,122065,110771
225,Chatbot Operator,Marketing,UiPath,High,68246,130471,196671
226,Automation Analyst,IT,Python,High,135014,143061,55175
227,Automation Analyst,Marketing,UiPath,High,99467,55192,25987
228,RPA Developer,IT,Python,Low,44481,70963,132765
229,ML Engineer,Manufacturing,Power BI,Low,42501,25559,110040
230,RPA Developer,Manufacturing,UiPath,Medium,124589,85790,165703
231,Automation Analyst,Manufacturing,OpenCV,Medium,100154,6622,103114
232,ML Engineer,IT,ChatGPT,High,147909,38872,50903
233,Data Entry Clerk,Manufacturing,ChatGPT,High,53808,127377,43541
234,Automation Analyst,Finance,Power BI,High,64275,82068,189548
235,Automation Analyst,Marketing,ChatGPT,Low,107263,97219,66234
236,ML Engineer,Healthcare,OpenCV,High,79590,121095,129621
237,Automation Analyst,IT,TensorFlow,Medium,125321,8202,151548
238,Chatbot Operator,Healthcare,TensorFlow,High,44667,118052,49390
239,ML Engineer,Finance,Python,Low,46573,120100,126291
240,Data Entry Clerk,Healthcare,OpenCV,Medium,63540,145028,10669
241,RPA Developer,IT,TensorFlow,Medium,118902,88394,142045
242,Data Entry Clerk,Finance,OpenCV,Medium,90082,140904,178807
243,Automation Analyst,Manufacturing,UiPath,Low,71217,100030,119544
244,AI Engineer,Healthcare,ChatGPT,Medium,135439,144963,190414
245,AI Engineer,Finance,OpenCV,Low,37975,148261,112844
246,Chatbot Operator,Marketing,Power BI,Medium,39263,8487,43875
247,Automation Analyst,Marketing,OpenCV,High,48953,9625,66573
248,RPA Developer,Healthcare,Python,High,116612,10867,28085
249,Chatbot Operator,Marketing,ChatGPT,Medium,123956,74504,87387
250,Chatbot Operator,IT,Power BI,High,101406,126114,38719
251,AI Engineer,IT,Power BI,High,141223,47218,63458
252,ML Engineer,Marketing,Power BI,Medium,145415,144142,56418
253,AI Engineer,Finance,TensorFlow,Medium,105760,121393,88042
254,AI Engineer,Manufacturing,OpenCV,High,54364,99983,138879
255,AI Engineer,IT,UiPath,Medium,134637,85937,19719
256,Automation Analyst,Finance,TensorFlow,Medium,61859,33496,41648
257,Data Entry Clerk,Marketing,UiPath,Low,103091,60530,17515
258,ML Engineer,IT,Power BI,Medium,64212,135818,109812
259,RPA Developer,Marketing,UiPath,Low,59173,69873,114486
260,Chatbot Operator,Healthcare,OpenCV,Low,40807,128782,180201
261,AI Engineer,Healthcare,OpenCV,Medium,71120,131967,85428
262,AI Engineer,Marketing,OpenCV,Low,132476,92083,81153
263,AI Engineer,IT,TensorFlow,High,50019,136382,171955
264,Chatbot Operator,Marketing,TensorFlow,Medium,115075,94122,30379
265,Data Entry Clerk,Marketing,OpenCV,Low,143399,49802,73806
266,RPA Developer,Finance,TensorFlow,Low,80785,25153,105472
267,Chatbot Operator,Healthcare,OpenCV,Medium,115281,147450,146692
268,ML Engineer,Finance,UiPath,Medium,84309,141312,60723
269,RPA Developer,IT,Power BI,Medium,141824,31279,79499
270,RPA Developer,Healthcare,TensorFlow,Medium,55901,99145,128734
271,Chatbot Operator,Finance,ChatGPT,Low,95773,7972,139264
272,RPA Developer,Marketing,OpenCV,High,136092,115866,21550
273,Chatbot Operator,Finance,Power BI,Low,103698,115085,154819
274,AI Engineer,Finance,TensorFlow,Medium,125640,98089,166622
275,Automation Analyst,Finance,Python,Medium,86342,7300,23494
276,ML Engineer,Marketing,OpenCV,Low,116281,21380,50207
277,ML Engineer,Manufacturing,OpenCV,Medium,86307,63094,91489
278,Automation Analyst,IT,TensorFlow,High,64988,39810,163992
279,Automation Analyst,Healthcare,Power BI,Medium,147232,64201,192143
280,AI Engineer,Finance,OpenCV,Medium,59835,81616,178703
281,Automation Analyst,Finance,TensorFlow,Medium,54580,70114,122717
282,Data Entry Clerk,Marketing,Python,Low,67682,93122,141057
283,Chatbot Operator,IT,Power BI,Medium,89315,50991,77236
284,Data Entry Clerk,Finance,ChatGPT,High,47836,22242,102658
285,Chatbot Operator,Healthcare,Python,High,97779,98954,52062
286,AI Engineer,Finance,UiPath,Medium,148299,21279,51103
287,ML Engineer,Marketing,TensorFlow,High,50501,118787,122843
288,RPA Developer,IT,UiPath,Low,57481,81128,20682
289,AI Engineer,Finance,ChatGPT,Low,90141,53609,98441
290,RPA Developer,IT,ChatGPT,High,79927,48370,19299
291,ML Engineer,Finance,UiPath,Low,122167,80233,134357
292,AI Engineer,Healthcare,ChatGPT,High,68630,90491,82924
293,AI Engineer,IT,TensorFlow,High,66416,14387,185113
294,Data Entry Clerk,Finance,UiPath,High,38881,67164,120708
295,Chatbot Operator,Healthcare,TensorFlow,Low,108729,14650,118841
296,Data Entry Clerk,IT,Power BI,Medium,145779,122162,76746
297,AI Engineer,Healthcare,TensorFlow,Low,137484,113100,158351
298,ML Engineer,Marketing,TensorFlow,Medium,41033,125108,168702
299,Automation Analyst,IT,TensorFlow,Low,149666,124214,76274
300,Data Entry Clerk,Marketing,OpenCV,High,77706,126130,77819
301,AI Engineer,Manufacturing,Python,High,140486,68940,175274
302,Chatbot Operator,Finance,ChatGPT,High,105980,65741,118266
303,Chatbot Operator,Manufacturing,Power BI,Low,127699,12581,24480
304,RPA Developer,Marketing,Power BI,Low,74297,21840,197302
305,Chatbot Operator,Finance,TensorFlow,Medium,63570,135839,140124
306,Data Entry Clerk,Healthcare,ChatGPT,Medium,147469,62891,163818
307,Chatbot Operator,Finance,TensorFlow,High,126625,34217,71951
308,RPA Developer,Manufacturing,OpenCV,Low,115204,24016,38028
309,Data Entry Clerk,Manufacturing,Power BI,Medium,92448,138115,115904
310,ML Engineer,Finance,Power BI,Medium,98855,13429,88798
311,Data Entry Clerk,Manufacturing,TensorFlow,Low,100915,121422,58718
312,RPA Developer,Marketing,UiPath,Medium,52955,83506,22065
313,RPA Developer,IT,TensorFlow,Low,123666,87629,193808
314,Automation Analyst,Healthcare,Power BI,Low,71367,30067,101704
315,ML Engineer,Healthcare,UiPath,Low,92187,8623,36801
316,Chatbot Operator,Finance,UiPath,High,118653,148215,95203
317,AI Engineer,Manufacturing,Power BI,High,123962,42762,34961
318,Automation Analyst,Finance,OpenCV,Medium,85450,108006,163505
319,Data Entry Clerk,Marketing,Power BI,High,133671,11856,113722
320,Automation Analyst,Healthcare,OpenCV,Low,92791,102603,145846
321,RPA Developer,IT,Python,Medium,55965,31081,171878
322,ML Engineer,IT,UiPath,Medium,118764,74743,84745
323,Data Entry Clerk,IT,OpenCV,Low,69953,28700,62581
324,ML Engineer,IT,Power BI,Medium,133503,20285,129625
325,Automation Analyst,Manufacturing,OpenCV,High,127176,33117,169217
326,Chatbot Operator,Marketing,Python,Medium,69846,66269,75583
327,ML Engineer,IT,TensorFlow,Medium,101694,149572,70519
328,Data Entry Clerk,Manufacturing,Python,Low,100617,63311,162136
329,RPA Developer,Manufacturing,Python,Low,135605,44026,33774
330,Chatbot Operator,Marketing,Power BI,Low,119733,36802,126962
331,Data Entry Clerk,Manufacturing,OpenCV,High,49385,47158,198837
332,Chatbot Operator,Finance,OpenCV,High,61237,117686,178259
333,Data Entry Clerk,Manufacturing,Power BI,High,53683,141985,158469
334,AI Engineer,Marketing,Python,Medium,103633,130789,49218
335,AI Engineer,Finance,Python,Low,68736,64929,177150
336,ML Engineer,Healthcare,ChatGPT,Medium,145498,22779,33677
337,Chatbot Operator,Manufacturing,UiPath,Medium,74362,118887,148618
338,Data Entry Clerk,IT,UiPath,Medium,73417,47366,152967
339,RPA Developer,Marketing,Python,Low,50241,22234,99807
340,ML Engineer,Finance,ChatGPT,High,95003,109517,10769
341,ML Engineer,Marketing,ChatGPT,Medium,116822,11488,161959
342,RPA Developer,Marketing,UiPath,High,81118,102759,53082
343,Chatbot Operator,IT,Power BI,Medium,58855,127959,37436
344,ML Engineer,Marketing,Python,Medium,38086,39264,27643
345,RPA Developer,Finance,Power BI,Medium,45948,91395,108221
346,Automation Analyst,Manufacturing,Power BI,High,66315,74398,161584
347,ML Engineer,Healthcare,OpenCV,Medium,106614,120654,93974
348,Automation Analyst,IT,Power BI,Low,70185,18922,27248
349,Data Entry Clerk,Finance,ChatGPT,High,53684,110879,86940
350,Data Entry Clerk,Manufacturing,UiPath,High,80628,39365,19152
351,ML Engineer,Healthcare,Power BI,Low,109946,73826,186092
352,Chatbot Operator,Marketing,ChatGPT,High,137614,146002,50891
353,RPA Developer,Manufacturing,OpenCV,High,114903,33732,168529
354,Automation Analyst,Finance,OpenCV,High,105940,88707,183907
355,Automation Analyst,Marketing,Power BI,Low,95632,33750,136405
356,Automation Analyst,Marketing,OpenCV,High,140646,22447,17571
357,Data Entry Clerk,Finance,UiPath,High,128641,116884,180002
358,AI Engineer,Marketing,Python,Medium,67841,60832,89394
359,Automation Analyst,Manufacturing,OpenCV,High,51704,19788,124776
360,RPA Developer,Finance,Power BI,Low,119101,122004,75246
361,Automation Analyst,Manufacturing,Power BI,High,100445,33991,112721
362,Chatbot Operator,IT,OpenCV,High,115087,32700,152197
363,Data Entry Clerk,IT,TensorFlow,Low,47191,7916,46274
364,Data Entry Clerk,Finance,TensorFlow,Medium,114813,73088,168528
365,AI Engineer,Finance,Python,Medium,109224,31922,186342
366,Automation Analyst,Manufacturing,OpenCV,High,40083,39403,154010
367,Automation Analyst,Marketing,Python,Medium,111512,141786,165856
368,Automation Analyst,Marketing,TensorFlow,Low,118229,79135,29384
369,Chatbot Operator,IT,OpenCV,Low,114949,145463,65885
370,Automation Analyst,Healthcare,ChatGPT,Low,146964,54471,97725
371,RPA Developer,Healthcare,UiPath,High,90560,46012,143122
372,Chatbot Operator,Manufacturing,ChatGPT,High,41422,124563,50773
373,Automation Analyst,Marketing,ChatGPT,Low,121604,74915,93717
374,ML Engineer,Marketing,TensorFlow,Low,130497,47961,121832
375,AI Engineer,Finance,Power BI,Low,106786,10074,97142
376,Automation Analyst,Manufacturing,TensorFlow,Low,103307,108839,170822
377,ML Engineer,Marketing,ChatGPT,Medium,127211,130975,121854
378,Automation Analyst,Manufacturing,Power BI,Medium,140305,30575,65646
379,ML Engineer,Healthcare,OpenCV,Low,95475,28307,33198
380,Chatbot Operator,Manufacturing,UiPath,High,61147,107717,102745
381,ML Engineer,Finance,UiPath,High,128463,23242,191819
382,RPA Developer,Finance,UiPath,High,110912,85974,65258
383,ML Engineer,Marketing,OpenCV,Medium,82100,61688,51336
384,Data Entry Clerk,Marketing,OpenCV,High,141068,63103,164248
385,Data Entry Clerk,Healthcare,Python,Low,110518,40245,187452
386,Chatbot Operator,Finance,ChatGPT,Medium,115841,21969,74521
387,ML Engineer,IT,Power BI,Low,64349,35590,102136
388,RPA Developer,IT,OpenCV,Low,122439,6884,39308
389,Chatbot Operator,Healthcare,Power BI,High,91898,20149,54328
390,Automation Analyst,Marketing,OpenCV,Medium,63335,148659,55012
391,AI Engineer,Finance,Power BI,Low,85029,124481,189572
392,RPA Developer,IT,Power BI,Low,140052,136699,160542
393,Automation Analyst,Finance,ChatGPT,Medium,125088,106695,71093
394,RPA Developer,IT,UiPath,Medium,123435,49309,127490
395,ML Engineer,Manufacturing,Python,Medium,38186,70107,22707
396,Data Entry Clerk,Finance,ChatGPT,High,108751,102056,84524
397,Chatbot Operator,IT,ChatGPT,Medium,45874,99720,185736
398,ML Engineer,Finance,ChatGPT,High,131730,140197,197139
399,Data Entry Clerk,Manufacturing,ChatGPT,High,84578,74784,44683
400,Data Entry Clerk,Marketing,OpenCV,Medium,74838,28532,151369
401,Chatbot Operator,Manufacturing,Python,High,93799,135990,145502
402,Chatbot Operator,Finance,Power BI,Low,103918,96607,100133
403,RPA Developer,Healthcare,UiPath,High,50318,70189,114444
404,Chatbot Operator,Finance,TensorFlow,Low,111126,51528,104604
405,RPA Developer,IT,Power BI,Medium,102517,121442,117778
406,AI Engineer,Manufacturing,ChatGPT,Low,87004,34793,22330
407,Automation Analyst,Marketing,UiPath,Medium,136740,120664,199642
408,Automation Analyst,Finance,Python,High,116621,9348,84582
409,AI Engineer,Healthcare,Power BI,Medium,63464,21872,155868
410,Chatbot Operator,Finance,OpenCV,Medium,96415,79733,80857
411,ML Engineer,IT,TensorFlow,Medium,61422,92857,165910
412,Automation Analyst,Finance,OpenCV,High,44301,54542,145094
413,Data Entry Clerk,Marketing,Python,Medium,63371,37629,145705
414,RPA Developer,Marketing,ChatGPT,Low,87347,147370,156015
415,Chatbot Operator,Healthcare,OpenCV,High,87875,132327,48395
416,Automation Analyst,Finance,Python,Low,55080,116809,71957
417,AI Engineer,IT,Python,High,100151,74071,172754
418,Data Entry Clerk,Finance,ChatGPT,Medium,40271,135158,112090
419,RPA Developer,IT,Python,Low,52806,79037,30221
420,ML Engineer,Marketing,Python,Medium,75816,76911,76636
421,AI Engineer,Healthcare,OpenCV,Low,41171,140822,35584
422,Automation Analyst,Manufacturing,ChatGPT,Low,90305,80324,173961
423,ML Engineer,Healthcare,ChatGPT,High,110064,136261,191708
424,Chatbot Operator,Healthcare,ChatGPT,Low,106537,127068,152293
425,Chatbot Operator,Marketing,Power BI,Low,40276,41351,52943
426,Data Entry Clerk,IT,Power BI,High,93904,69725,127637
427,RPA Developer,Marketing,UiPath,Low,137011,91308,24011
428,ML Engineer,Marketing,Python,High,98073,58771,64226
429,Automation Analyst,IT,Python,Low,51616,126409,79901
