human_job_id,job_title,industry,key_human_skill,emotional_or_physical_labor,median_salary_usd,job_openings_2024,projected_openings_2030
42,Manager,IT,Creativity,True,117307,105355,191813
43,Designer,Healthcare,Creativity,False,96636,148846,63747
44,Teacher,IT,Empathy,False,116320,45414,72627
45,Nurse,Manufacturing,Problem Solving,True,151095,42176,143930
46,Nurse,Finance,Manual Skill,False,67562,81796,134776
47,Electrician,Healthcare,Manual Skill,False,56586,59833,92771
48,Manager,Marketing,Problem Solving,False,132438,71501,141963
49,Nurse,Marketing,Problem Solving,False,49280,51875,77151
50,Doctor,IT,Manual Skill,True,134934,48283,153651
51,Designer,Marketing,Creativity,True,52243,175522,126642
52,Nurse,Finance,Empathy,False,102164,15122,138278
53,Electrician,Finance,Empathy,True,87699,112711,35879
54,Nurse,Marketing,Manual Skill,False,129920,34815,186661
55,Doctor,Healthcare,Manual Skill,False,76897,133374,147118
56,Teacher,Manufacturing,Creativity,False,55636,112919,80899
57,Doctor,Healthcare,Leadership,True,146070,33881,36162
58,Manager,Healthcare,Leadership,False,60030,55348,206471
59,Designer,Finance,Problem Solving,False,40511,9195,141187
60,Nurse,Manufacturing,Problem Solving,False,100925,144434,105954
61,Doctor,IT,Manual Skill,True,107210,150988,136871
62,Electrician,Finance,Manual Skill,True,108729,88952,27214
63,Nurse,Finance,Leadership,False,46647,88437,61843
64,Manager,Healthcare,Creativity,False,77802,18353,49834
65,Teacher,IT,Manual Skill,True,139167,127801,22569
66,Teacher,Finance,Creativity,False,145542,167944,141330
67,Electrician,Healthcare,Problem Solving,False,42049,64403,98107
68,Nurse,Finance,Empathy,False,144841,20419,117236
69,Manager,Marketing,Leadership,False,68404,36632,27220
70,Manager,Marketing,Manual Skill,True,63055,110435,212008
71,Teacher,Healthcare,Problem Solving,True,119087,103085,55894
72,Teacher,Marketing,Manual Skill,False,151752,66918,81348
73,Manager,IT,Leadership,False,109877,149180,155060
74,Nurse,IT,Creativity,False,82526,117715,125256
75,Teacher,IT,Problem Solving,False,124156,143421,92963
76,Designer,Finance,Empathy,True,103200,143333,91222
77,Teacher,Healthcare,Manual Skill,False,94388,54884,142963
78,Manager,IT,Manual Skill,False,113842,159604,173271
79,Teacher,IT,Problem Solving,True,65168,10788,111021
80,Designer,Healthcare,Empathy,False,46934,17454,142080
81,Manager,Finance,Creativity,False,41548,73702,159618
82,Nurse,Healthcare,Manual Skill,False,128256,105133,110471
83,Nurse,IT,Problem Solving,True,76286,137174,111695
84,Designer,IT,Creativity,False,154482,66606,124274
85,Nurse,Marketing,Manual Skill,False,93133,105560,209467
86,Manager,Finance,Problem Solving,False,112077,66661,35509
87,Manager,Manufacturing,Leadership,True,67267,30345,66560
88,Manager,Manufacturing,Manual Skill,False,117116,160955,98757
89,Teacher,Manufacturing,Leadership,False,95751,58302,122700
90,Manager,Manufacturing,Creativity,False,135540,165400,105668
91,Teacher,Finance,Manual Skill,False,97729,26365,66476
92,Teacher,Manufacturing,Leadership,True,45531,8966,80674
93,Electrician,IT,Manual Skill,False,91372,151227,42110
94,Doctor,Finance,Leadership,False,121039,135403,53738
95,Electrician,Healthcare,Problem Solving,True,119225,154500,40273
96,Doctor,Finance,Manual Skill,True,113744,127319,66777
97,Nurse,Finance,Problem Solving,True,47496,46978,194353
98,Nurse,IT,Empathy,False,155880,127738,199250
99,Teacher,IT,Leadership,True,56971,46376,169277
100,Doctor,IT,Empathy,False,141366,30308,184950
101,Doctor,Finance,Manual Skill,True,94443,153669,144878
102,Doctor,Marketing,Leadership,False,143538,9614,152780
103,Manager,Finance,Leadership,False,68330,38992,163762
104,Doctor,Marketing,Manual Skill,True,49989,179669,105294
105,Teacher,Manufacturing,Empathy,False,47594,45171,87155
106,Electrician,Manufacturing,Problem Solving,False,133183,51375,197595
107,Electrician,Healthcare,Creativity,True,127634,32789,22141
108,Doctor,IT,Empathy,True,79478,100779,37406
109,Teacher,Healthcare,Leadership,False,99759,116144,84894
110,Doctor,Healthcare,Problem Solving,True,50974,118213,103295
111,Manager,Manufacturing,Empathy,False,91703,49775,53259
112,Manager,Marketing,Empathy,False,53192,45702,201838
113,Electrician,Manufacturing,Problem Solving,False,44357,143761,155079
114,Nurse,Marketing,Leadership,False,106974,175931,124497
115,Manager,Manufacturing,Leadership,True,136310,12292,194315
116,Teacher,IT,Leadership,True,157329,26304,197356
117,Manager,Manufacturing,Creativity,False,158766,112116,182060
118,Doctor,Finance,Manual Skill,True,123827,153167,219679
119,Manager,Marketing,Problem Solving,False,48811,16720,27399
120,Nurse,Marketing,Empathy,True,53874,117202,35960
121,Nurse,IT,Manual Skill,True,145895,37967,182843
122,Electrician,Healthcare,Creativity,False,115185,33649,89105
123,Doctor,Manufacturing,Empathy,True,68585,64686,45462
124,Teacher,Finance,Empathy,True,55814,170018,201540
125,Doctor,IT,Creativity,False,44795,88960,217173
126,Doctor,Manufacturing,Empathy,False,48500,16276,202700
127,Manager,Healthcare,Manual Skill,True,141955,135206,174078
128,Designer,Manufacturing,Problem Solving,True,53972,11676,211012
129,Teacher,Healthcare,Creativity,False,104866,136452,174790
130,Nurse,Manufacturing,Leadership,False,126425,120518,131145
131,Doctor,IT,Creativity,True,157060,77502,73237
132,Teacher,IT,Problem Solving,False,148344,35513,92730
133,Doctor,Finance,Empathy,False,125730,49512,91575
134,Nurse,IT,Problem Solving,False,156165,64933,138412
135,Nurse,Marketing,Manual Skill,False,103328,141096,161485
136,Electrician,Finance,Creativity,False,82678,40651,33187
137,Teacher,IT,Problem Solving,False,68893,80875,40165
138,Manager,IT,Creativity,False,105951,154237,66555
139,Designer,Healthcare,Creativity,False,130135,39079,56569
140,Nurse,Manufacturing,Leadership,True,68667,12767,96341
141,Designer,Manufacturing,Empathy,True,145634,102739,160184
142,Teacher,Marketing,Empathy,True,128017,133288,145380
143,Electrician,IT,Empathy,True,61983,30853,196285
144,Designer,Healthcare,Problem Solving,False,126808,138913,214760
145,Designer,Finance,Leadership,False,65310,32053,30713
146,Doctor,Healthcare,Manual Skill,True,70236,164784,170354
147,Electrician,Marketing,Problem Solving,True,154058,35454,216177
148,Manager,Healthcare,Empathy,True,84404,67319,29926
149,Doctor,Finance,Creativity,True,140952,95324,170674
150,Manager,Healthcare,Problem Solving,True,46317,136150,84576
151,Teacher,Manufacturing,Leadership,False,63972,75352,106189
152,Teacher,IT,Problem Solving,False,93767,65712,81588
153,Designer,Marketing,Problem Solving,True,119620,166915,170039
154,Electrician,Healthcare,Creativity,True,74837,85688,23987
155,Manager,IT,Creativity,True,81857,10843,182878
156,Teacher,Finance,Leadership,True,143794,74272,39174
157,Doctor,Healthcare,Empathy,False,94739,68316,122143
158,Teacher,IT,Empathy,True,84534,140150,172691
159,Teacher,Finance,Problem Solving,True,159007,18241,44906
160,Nurse,Marketing,Manual Skill,True,119635,96705,165566
161,Teacher,Marketing,Manual Skill,False,58806,21288,73528
162,Designer,Marketing,Manual Skill,False,48139,153960,36851
163,Electrician,Marketing,Leadership,True,58822,111017,160075
164,Teacher,Marketing,Empathy,True,90108,71108,81321
165,Teacher,Finance,Creativity,False,155249,92335,206010
166,Doctor,Manufacturing,Leadership,False,123481,82933,113456
167,Nurse,Manufacturing,Empathy,False,120615,115673,185062
168,Designer,IT,Creativity,True,63948,85064,99315
169,Doctor,Healthcare,Empathy,False,127940,92867,74111
170,Designer,Marketing,Creativity,False,49922,58905,213329
171,Manager,Marketing,Problem Solving,False,58516,12116,108219
172,Electrician,Finance,Problem Solving,True,80797,48800,205313
173,Manager,Finance,Creativity,True,146101,85430,79052
174,Doctor,Manufacturing,Manual Skill,False,149671,126656,63909
175,Doctor,IT,Leadership,True,52457,161458,182653
176,Teacher,IT,Leadership,True,52879,116373,90870
177,Electrician,Finance,Manual Skill,True,50433,8712,207337
178,Doctor,Marketing,Creativity,True,82869,130049,71036
179,Doctor,Marketing,Creativity,True,66437,137132,194593
180,Designer,Manufacturing,Leadership,False,102449,140611,191534
181,Electrician,IT,Creativity,False,58483,19393,135482
182,Electrician,Marketing,Problem Solving,False,105453,174302,105615
183,Nurse,Marketing,Leadership,False,150767,29155,49514
184,Nurse,Healthcare,Problem Solving,True,151089,122130,92320
185,Manager,Healthcare,Empathy,False,90874,146367,79193
186,Electrician,IT,Creativity,False,145458,128211,129286
187,Manager,Finance,Creativity,False,107824,165385,40319
188,Doctor,Marketing,Empathy,True,82546,161667,213518
189,Designer,IT,Creativity,True,69598,87548,73072
190,Teacher,Healthcare,Problem Solving,False,144723,102467,158802
191,Designer,Manufacturing,Creativity,True,152391,43110,71241
192,Designer,Marketing,Creativity,False,140034,128673,167904
193,Nurse,Healthcare,Leadership,True,60649,71537,61015
194,Doctor,Manufacturing,Creativity,False,129863,106440,82503
195,Manager,Manufacturing,Manual Skill,True,82182,166300,217948
196,Electrician,Healthcare,Manual Skill,True,69119,140022,105495
197,Manager,Healthcare,Empathy,False,48686,45760,83286
198,Nurse,Healthcare,Creativity,False,89612,72128,81015
199,Nurse,Finance,Problem Solving,False,117384,23694,58195
200,Designer,Marketing,Problem Solving,True,113726,80974,50963
201,Designer,Manufacturing,Empathy,False,58652,29527,174741
202,Electrician,Marketing,Problem Solving,True,125433,91544,78352
203,Teacher,Manufacturing,Problem Solving,False,159972,127784,128477
204,Electrician,Healthcare,Empathy,False,111158,39373,86590
205,Designer,Healthcare,Manual Skill,False,91103,16597,62825
206,Designer,Manufacturing,Creativity,False,128042,71650,212057
207,Electrician,IT,Empathy,True,109362,98857,91421
208,Doctor,Marketing,Manual Skill,False,106478,92884,111613
209,Teacher,IT,Creativity,True,87219,133877,69017
210,Electrician,IT,Creativity,False,104841,72328,60839
211,Electrician,IT,Empathy,True,93468,136876,132876
212,Designer,Healthcare,Leadership,False,47397,114537,90130
213,Electrician,Finance,Leadership,True,117714,175387,62258
214,Nurse,Marketing,Leadership,True,56753,9891,167539
215,Doctor,Finance,Empathy,False,67751,54154,23343
216,Designer,Finance,Leadership,False,142842,61748,62048
217,Nurse,Finance,Empathy,True,129497,158543,22623
218,Designer,Manufacturing,Manual Skill,True,50856,134009,56345
219,Manager,Finance,Manual Skill,True,76751,74501,208488
220,Nurse,Marketing,Manual Skill,False,77104,42646,86125
221,Teacher,Finance,Empathy,True,63465,118185,52205
222,Electrician,Finance,Problem Solving,False,143094,96980,160669
223,Electrician,Healthcare,Empathy,True,153617,64419,187165
224,Teacher,Manufacturing,Problem Solving,True,127083,149795,110679
225,Electrician,Finance,Problem Solving,False,67956,25384,98158
226,Electrician,Healthcare,Manual Skill,True,97046,130897,75083
227,Manager,Finance,Empathy,True,115075,98853,102942
228,Doctor,Manufacturing,Manual Skill,False,57346,101420,100770
229,Nurse,Marketing,Empathy,True,132673,130014,202432
230,Nurse,Healthcare,Empathy,False,84788,54089,155030
231,Teacher,Manufacturing,Manual Skill,False,46112,82926,159449
232,Designer,Marketing,Manual Skill,True,128427,124708,56635
233,Electrician,Finance,Empathy,False,55103,116259,145860
234,Designer,Finance,Problem Solving,False,48712,142297,217845
235,Teacher,Manufacturing,Creativity,True,99823,53977,138458
236,Teacher,Finance,Problem Solving,True,120963,141639,35225
237,Designer,Healthcare,Creativity,True,41538,133477,58612
238,Teacher,Manufacturing,Creativity,True,99522,26532,176603
239,Designer,Healthcare,Empathy,True,147745,51491,208913
240,Nurse,Marketing,Manual Skill,False,77266,46548,85488
241,Doctor,Marketing,Manual Skill,False,153348,172084,106417
242,Electrician,IT,Manual Skill,False,112244,113166,39378
243,Electrician,Marketing,Leadership,True,85778,149619,94492
244,Teacher,IT,Creativity,False,42966,74441,108350
245,Doctor,Marketing,Empathy,False,114471,157360,24623
246,Designer,Marketing,Problem Solving,True,149878,115506,22833
247,Manager,Manufacturing,Creativity,False,57864,69182,151502
248,Nurse,IT,Empathy,False,81111,10876,143915
249,Electrician,Manufacturing,Problem Solving,False,99350,62475,129879
250,Manager,Healthcare,Problem Solving,True,128228,149826,157595
251,Electrician,Manufacturing,Leadership,True,145758,132893,197044
252,Designer,Manufacturing,Empathy,True,75230,15105,152238
253,Electrician,Marketing,Leadership,False,62759,139163,214772
254,Electrician,Marketing,Leadership,True,122908,72313,39442
255,Teacher,IT,Manual Skill,True,95550,43815,36869
256,Doctor,Manufacturing,Problem Solving,False,84383,142965,209326
257,Electrician,Finance,Creativity,True,146278,133453,20715
258,Electrician,Manufacturing,Empathy,False,83814,49090,205256
259,Nurse,Healthcare,Problem Solving,False,75048,28613,28592
260,Manager,Manufacturing,Manual Skill,True,77027,20968,176144
261,Electrician,IT,Problem Solving,True,88492,93972,39149
262,Doctor,Manufacturing,Manual Skill,True,44299,57802,177840
263,Electrician,Marketing,Problem Solving,False,136284,89706,107308
264,Designer,Finance,Manual Skill,True,126025,60444,39532
265,Electrician,Finance,Creativity,False,54350,150425,157309
266,Doctor,Finance,Empathy,True,91489,124314,192629
267,Electrician,Healthcare,Problem Solving,True,157994,49299,109869
268,Nurse,Marketing,Problem Solving,True,77097,152593,145640
269,Electrician,Manufacturing,Manual Skill,True,146316,41078,157575
270,Manager,Finance,Creativity,True,68662,12872,189397
271,Designer,Finance,Creativity,False,81094,91947,217476
272,Doctor,Manufacturing,Creativity,True,97676,99939,78813
273,Designer,Healthcare,Manual Skill,False,70906,163642,100225
274,Manager,IT,Creativity,False,101210,140211,116345
275,Electrician,IT,Leadership,False,101010,146163,124097
276,Designer,Manufacturing,Creativity,False,77171,98536,20333
277,Doctor,Marketing,Empathy,True,64105,25027,179688
278,Teacher,Healthcare,Empathy,True,67157,176759,178000
279,Manager,Marketing,Creativity,True,81011,67507,125739
280,Teacher,IT,Manual Skill,False,95900,20129,171971
281,Designer,IT,Leadership,False,145510,144142,41064
282,Designer,IT,Manual Skill,False,135847,37377,126540
283,Electrician,Healthcare,Problem Solving,False,103027,146668,166420
284,Manager,Healthcare,Leadership,True,157914,89149,80767
285,Nurse,Marketing,Manual Skill,True,117070,91565,39575
286,Doctor,IT,Leadership,True,72732,164805,102187
287,Designer,IT,Manual Skill,False,71834,55640,205936
288,Electrician,IT,Empathy,False,60256,170145,42296
289,Teacher,IT,Leadership,True,42569,129853,45537
290,Manager,Manufacturing,Creativity,True,57395,23081,45458
291,Manager,Manufacturing,Leadership,False,80573,141017,192688
292,Designer,IT,Creativity,True,139059,113792,114233
293,Nurse,Healthcare,Leadership,False,108014,21064,56877
294,Designer,Finance,Empathy,False,104531,144059,25248
295,Manager,Finance,Leadership,False,59043,70826,161324
296,Teacher,Marketing,Empathy,False,122548,112865,200816
297,Designer,IT,Problem Solving,False,76062,90102,38240
298,Manager,Finance,Leadership,True,89965,62473,134272
299,Nurse,Marketing,Leadership,True,104632,169907,48373
300,Teacher,IT,Empathy,True,95768,65558,210803
301,Manager,Finance,Empathy,False,153542,109368,108241
302,Teacher,Healthcare,Problem Solving,True,42714,87900,203755
303,Manager,Manufacturing,Empathy,True,142591,74917,120216
304,Teacher,IT,Manual Skill,False,96810,63198,54698
305,Designer,Manufacturing,Empathy,True,98323,112596,91153
306,Nurse,IT,Creativity,True,86661,49310,98506
307,Manager,Manufacturing,Creativity,False,84616,42171,84980
308,Electrician,Marketing,Leadership,False,45778,95454,105137
309,Nurse,Finance,Problem Solving,True,54672,134310,179742
310,Teacher,Marketing,Problem Solving,False,44507,65010,58179
311,Teacher,Finance,Empathy,False,123410,68275,87824
312,Nurse,Manufacturing,Empathy,False,144480,113297,62897
313,Electrician,Healthcare,Manual Skill,False,151277,37582,177110
314,Nurse,Healthcare,Problem Solving,False,84936,137308,49245
315,Teacher,Manufacturing,Manual Skill,False,85252,40877,200722
316,Manager,IT,Creativity,False,133845,103596,115013
317,Doctor,Marketing,Leadership,False,80402,12586,217099
318,Nurse,Marketing,Creativity,False,80605,169963,171733
319,Nurse,IT,Creativity,False,97463,34620,135618
320,Doctor,Finance,Leadership,True,115887,68117,128519
321,Nurse,Healthcare,Leadership,False,115286,92013,71203
322,Teacher,Marketing,Manual Skill,False,45923,16015,148917
323,Teacher,Finance,Leadership,True,91202,17606,25896
324,Electrician,Manufacturing,Leadership,False,123885,82175,217351
325,Electrician,Marketing,Empathy,False,45375,170862,120013
326,Manager,Marketing,Empathy,True,50002,33125,47663
327,Nurse,Finance,Problem Solving,True,65084,153232,100948
328,Nurse,Manufacturing,Empathy,False,96753,61128,52785
329,Doctor,IT,Leadership,False,116039,142167,45048
330,Nurse,Healthcare,Leadership,True,104949,151063,109509
331,Nurse,IT,Leadership,True,55750,21382,49194
332,Electrician,Manufacturing,Creativity,False,129360,17426,204650
333,Doctor,Manufacturing,Empathy,True,74782,149931,143297
334,Nurse,Marketing,Manual Skill,False,148859,95034,87566
335,Electrician,Healthcare,Problem Solving,False,62705,112715,119284
336,Designer,IT,Creativity,False,60401,147594,56850
337,Manager,Finance,Manual Skill,False,68593,109891,186444
338,Doctor,Manufacturing,Leadership,False,153583,141789,98020
339,Teacher,Healthcare,Creativity,False,134616,106934,219207
340,Electrician,Healthcare,Manual Skill,False,102052,111425,205880
341,Doctor,Marketing,Creativity,False,61105,152803,184207
342,Nurse,Manufacturing,Manual Skill,True,159025,123916,78850
343,Teacher,Manufacturing,Empathy,False,49170,166337,70717
344,Manager,Finance,Manual Skill,False,92688,49036,182653
345,Designer,Manufacturing,Manual Skill,False,48350,127166,179747
346,Doctor,Manufacturing,Manual Skill,True,134987,142771,190776
347,Teacher,Manufacturing,Empathy,False,131043,93845,50512
348,Manager,Marketing,Creativity,True,124858,39744,30754
349,Designer,Finance,Empathy,False,97666,95278,83736
350,Designer,Marketing,Creativity,True,74257,79144,167028
351,Teacher,IT,Manual Skill,False,85001,135131,21353
352,Designer,Healthcare,Manual Skill,False,109657,178492,156257
353,Designer,IT,Creativity,True,153394,94930,200150
354,Teacher,Finance,Leadership,True,89003,179045,118237
355,Manager,Manufacturing,Creativity,True,104124,168126,90881
356,Designer,Finance,Leadership,True,115030,143066,25444
357,Electrician,Manufacturing,Problem Solving,True,98394,106924,42800
358,Electrician,IT,Problem Solving,True,110887,128192,51285
359,Manager,Healthcare,Leadership,True,58747,85751,175025
360,Manager,Marketing,Manual Skill,True,95873,82046,79513
361,Manager,Healthcare,Manual Skill,False,76180,14267,61131
362,Electrician,Marketing,Manual Skill,False,83695,35494,122307
363,Doctor,Manufacturing,Creativity,True,70020,141930,89491
364,Designer,Marketing,Problem Solving,False,105022,92217,65167
365,Teacher,Healthcare,Manual Skill,True,62564,110410,36749
366,Doctor,Manufacturing,Empathy,True,60580,18057,30861
367,Manager,Manufacturing,Leadership,True,74441,123120,115476
368,Doctor,Marketing,Creativity,False,60627,118413,201230
369,Nurse,Marketing,Creativity,False,105744,16544,91271
370,Doctor,IT,Creativity,False,78325,54912,74491
371,Electrician,Healthcare,Problem Solving,False,132586,32495,71895
372,Nurse,Healthcare,Creativity,False,52731,139316,175460
373,Electrician,Finance,Leadership,False,74311,65613,21869
374,Teacher,IT,Empathy,False,80607,81970,78853
375,Electrician,Healthcare,Empathy,True,66200,96272,148267
376,Doctor,Marketing,Problem Solving,True,73352,8207,198779
377,Nurse,Manufacturing,Problem Solving,True,40231,31089,158382
378,Nurse,Finance,Leadership,False,80553,122606,46164
379,Designer,Manufacturing,Manual Skill,False,88303,94795,82208
380,Manager,Manufacturing,Creativity,True,105304,106098,91316
381,Doctor,Manufacturing,Leadership,True,89779,125404,84077
382,Electrician,IT,Leadership,False,159654,137623,130722
383,Designer,IT,Problem Solving,False,94056,107197,59962
384,Teacher,Manufacturing,Creativity,False,98824,179512,148576
385,Nurse,Finance,Manual Skill,False,70793,175295,198287
386,Manager,Healthcare,Manual Skill,False,51331,57508,73348
387,Electrician,IT,Empathy,False,154691,71129,219026
388,Designer,Marketing,Empathy,False,77272,144897,150145
389,Doctor,Marketing,Manual Skill,False,156257,105121,27762
390,Doctor,IT,Empathy,True,133177,78979,170884
391,Doctor,IT,Empathy,True,51038,90705,75573
392,Doctor,Finance,Problem Solving,False,81361,154149,54573
393,Electrician,Manufacturing,Empathy,True,158691,79445,88787
394,Nurse,Healthcare,Creativity,True,94366,74967,43925
395,Doctor,Manufacturing,Manual Skill,False,97646,138507,91386
396,Doctor,Manufacturing,Problem Solving,False,91861,120652,100048
397,Manager,Finance,Problem Solving,False,53157,170457,96461
398,Manager,IT,Empathy,True,93781,88084,99518
399,Nurse,IT,Problem Solving,False,79691,55259,39874
400,Electrician,Healthcare,Empathy,False,136905,72365,43887
401,Doctor,Finance,Problem Solving,False,130808,143528,103603
402,Teacher,Finance,Problem Solving,False,76315,49595,88411
403,Manager,Finance,Manual Skill,False,153038,78013,58419
404,Designer,IT,Empathy,True,58359,81683,54770
405,Manager,Healthcare,Problem Solving,True,84856,91489,141179
406,Electrician,Marketing,Manual Skill,False,103262,167837,93892
407,Designer,IT,Empathy,False,124837,23960,102701
408,Nurse,Marketing,Creativity,False,100383,80661,43561
409,Electrician,Manufacturing,Empathy,True,56841,47419,126615
410,Nurse,Finance,Manual Skill,False,54344,29390,81112
411,Electrician,Healthcare,Empathy,True,87919,133668,154846
412,Electrician,Manufacturing,Manual Skill,True,66394,175534,106847
413,Teacher,IT,Empathy,False,69022,17250,129268
414,Nurse,Finance,Leadership,True,120978,136839,171590
415,Manager,Manufacturing,Manual Skill,True,136279,12150,21734
416,Manager,Marketing,Creativity,True,96314,51285,184251
417,Designer,IT,Problem Solving,True,63738,74629,28749
418,Electrician,Marketing,Creativity,False,90593,159221,98428
419,Doctor,IT,Leadership,True,114911,18861,62923
420,Doctor,Marketing,Manual Skill,False,143250,35881,148857
421,Designer,Manufacturing,Creativity,True,102228,66883,110027
422,Teacher,Marketing,Problem Solving,False,119562,137348,194920
423,Electrician,IT,Manual Skill,True,155889,87361,126304
424,Designer,Manufacturing,Manual Skill,True,50604,99490,102633
425,Doctor,Finance,Empathy,True,92965,176765,201795
426,Doctor,Manufacturing,Creativity,True,128576,45398,72713
427,Electrician,Finance,Creativity,True,120958,25280,42072
428,Manager,Finance,Leadership,False,104345,122836,37836
429,Nurse,Healthcare,Manual Skill,True,72175,54424,47022
430,Manager,Healthcare,Manual Skill,False,56551,146605,35301
431,Doctor,Finance,Creativity,True,55488,10226,215318
432,Electrician,Finance,Leadership,False,47557,117203,152349
433,Designer,Finance,Creativity,False,86418,79186,173107
434,Nurse,IT,Empathy,True,66070,88763,157520
435,Teacher,Finance,Manual Skill,False,63470,153470,146438
436,Doctor,Finance,Manual Skill,True,47816,157241,184532
437,Manager,Marketing,Manual Skill,False,58756,146633,84925
438,Doctor,Manufacturing,Creativity,False,157823,70487,82009
439,Manager,Marketing,Leadership,True,49130,151364,91597
440,Nurse,Finance,Leadership,True,129786,55893,82677
441,Manager,Healthcare,Manual Skill,True,140656,44794,97767
442,Electrician,Finance,Empathy,False,94673,44625,171270
443,Designer,IT,Problem Solving,False,53933,171013,83201
444,Designer,Healthcare,Empathy,False,102241,157414,106151
445,Teacher,Marketing,Manual Skill,False,63358,134028,32557
446,Nurse,Finance,Problem Solving,True,119785,8515,112782
447,Electrician,Marketing,Creativity,True,41933,116536,214608
448,Doctor,IT,Empathy,True,107315,9216,129456
449,Electrician,Marketing,Leadership,True,149243,149184,120040
450,Manager,Manufacturing,Manual Skill,False,74472,33700,58640
451,Nurse,Finance,Problem Solving,True,94513,117690,168056
452,Nurse,Manufacturing,Creativity,False,117838,81930,44283
453,Manager,Finance,Leadership,True,149135,49206,68770
454,Designer,Marketing,Manual Skill,True,75011,94423,186649
455,Doctor,IT,Creativity,True,119350,167003,194837
456,Nurse,IT,Leadership,True,102791,86621,136519
457,Designer,Marketing,Problem Solving,True,46603,123847,104555
458,Doctor,Marketing,Creativity,True,99423,127797,183940
459,Manager,IT,Empathy,False,115336,81293,196484
460,Designer,Finance,Manual Skill,True,149531,101148,68852
461,Manager,IT,Manual Skill,True,91634,132577,211157
462,Designer,Finance,Empathy,True,40141,53884,162643
463,Doctor,Manufacturing,Leadership,True,74153,92296,59499
464,Doctor,Healthcare,Leadership,True,54174,166480,160916
465,Manager,Finance,Manual Skill,False,45405,33458,127311
466,Teacher,Manufacturing,Empathy,False,87492,31516,208649
467,Manager,Marketing,Problem Solving,False,44594,55012,21754
468,Teacher,IT,Problem Solving,True,118262,10318,124417
469,Electrician,Finance,Problem Solving,False,156653,65292,45086
470,Doctor,Healthcare,Creativity,True,46486,90615,21998
471,Designer,Marketing,Leadership,False,96468,64598,82500
472,Electrician,Manufacturing,Empathy,False,91029,165116,106436
473,Teacher,IT,Problem Solving,False,52109,62615,146849
474,Teacher,Finance,Problem Solving,False,91237,18464,68576
475,Nurse,IT,Problem Solving,False,143189,148758,200584
476,Electrician,Finance,Leadership,False,58383,61682,207169
477,Teacher,Marketing,Empathy,True,78516,67375,83911
478,Teacher,Healthcare,Manual Skill,True,48115,75413,131998
479,Designer,Manufacturing,Creativity,True,66564,153239,30142
480,Teacher,Finance,Empathy,True,128716,126050,42698
481,Designer,Marketing,Empathy,False,100436,76662,44352
482,Manager,Manufacturing,Manual Skill,False,57229,88480,62597
483,Electrician,Finance,Manual Skill,True,67247,177051,52260
484,Electrician,Marketing,Manual Skill,True,58903,135825,140179
485,Manager,IT,Manual Skill,True,116968,172601,202724
486,Teacher,Manufacturing,Empathy,True,133805,115272,102885
487,Designer,Healthcare,Leadership,False,60253,107158,159689
